timestamp,username,scenario,voted_model,reason,feedback
2025-03-21 00:40:52,AIBT1,📱 Mobile Security Policy,deepseek-r1-distill-qwen-32b,,
2025-03-21 00:41:10,AIBT1,📱 Mobile Security Policy,gemma2-9b-it,,
2025-03-21 00:41:19,AIBT1,📱 Mobile Security Policy,gemma2-9b-it,,
2025-03-21 00:41:22,AIBT1,📱 Mobile Security Policy,gemma2-9b-it,,
2025-03-21 00:41:23,AIBT1,📱 Mobile Security Policy,gemma2-9b-it,,
2025-03-21 00:41:25,AIBT1,📱 Mobile Security Policy,gemma2-9b-it,,
2025-03-21 00:52:02,AIBT1,📱 Mobile Security Policy,mistral-saba-24b,,"THIS IS GOOD
"
2025-03-21 00:52:27,AIBT1,📱 Mobile Security Policy,gemma2-9b-it,,"GOOGLE MODEL
"
2025-03-21 00:52:42,AIBT1,📱 Mobile Security Policy,gemma2-9b-it,google product,"GOOGLE MODEL
"
2025-03-21 00:52:52,AIBT1,📱 Mobile Security Policy,gemma2-9b-it,"best 
","GOOGLE MODEL
"
2025-03-21 00:53:09,AIBT1,📱 Mobile Security Policy,gemma2-9b-it,1,"GOOGLE MODEL
"
2025-03-21 00:53:12,AIBT1,📱 Mobile Security Policy,gemma2-9b-it,11,"GOOGLE MODEL
"
2025-03-21 00:53:21,AIBT1,📱 Mobile Security Policy,gemma2-9b-it,1111,"GOOGLE MODEL
"
2025-03-21 00:53:35,AIBT1,📱 Mobile Security Policy,gemma2-9b-it,recen t comment,"GOOGLE MODEL
"
2025-03-21 08:27:32,,🔒 Security Breach Protocol,llama-3.2-90b-vision-preview,,"it is reaqly nice
"
2025-03-21 08:28:16,,🔒 Security Breach Protocol,deepseek-r1-distill-qwen-32b,kkkkjnknjk,"it is reaqly nice
"
